Question,Strongly Agree,Somewhat Agree,No Opinion,Somewhat Disagree,Strongly Disagree
"To achieve gender equality, changes are required for both men and women",2,1,0,-1,-2
Women with full-time jobs earn less than their male counterparts,2,1,0,-1,-2
Women empowerment comes at the expense of men,-2,-1,0,1,2
Women are promoted at work less often than men,2,1,0,-1,-2
"There should be an equal number of men and women who are leaders in work, politics, and community",2,1,0,-1,-2
Most developed countries have attained gender equality.,-2,-1,0,1,2
"Women inherently lack the ambition, confidence, and core competencies necessary for leadership success",-2,-1,0,1,2
Biological differences in men and women account for the lack of women in STEM fields,-2,-1,0,1,2
Gender equality boosts economic growth,2,1,0,-1,-2
Crying is associated with femininity and weakness.,-2,-1,0,1,2
Women prefer to stay home with their children than in the workplace,-2,-1,0,1,2